accion	origen	destino	sha256	bytes	nota
mover	fotos-originales/fiestas-patrias-2026/VA 01.JPG	media/fuente/chinas-modelo-2025-08-02/va01.jpg	c5217a7c1c7921eaf5187881770fce8be97962425429a01fa56554642d63728a	3206215	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VF 01.JPG	media/fuente/chinas-modelo-2025-08-02/vf01.jpg	a3930142c888e6cd419e35f99090e5d843627d4406093cf12d3a796f7a0d63ba	1812540	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VF 01A.JPG	media/fuente/chinas-modelo-2025-08-02/vf01a.jpg	eacdf07a3a94723001f070bdf5ea179f25a0aa3466323e62e73f328d01b9dd9f	1425605	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VM01.JPG	media/fuente/chinas-modelo-2025-08-02/vm01.jpg	026b61aa3b8f84c231d87405c865aa6a00a61ea67153808138fcc9816449fd33	2444587	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VN01.JPG	media/fuente/chinas-modelo-2025-08-02/vn01.jpg	7fc98b9fe7e0608d70583fa72766b0f212ab828abb9ffde099e21ca539edb817	2570549	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VN01A.JPG	media/fuente/chinas-modelo-2025-08-02/vn01a.jpg	bac8e2ecf3da8cb017efd793677140f174467a3c16b614b249d4327a850a853a	2735640	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VN03.JPG	media/fuente/chinas-modelo-2025-08-02/vn03.jpg	2f9a9c7588880bf72d55d5d68b7dc7f4e242a200ce1288ea0a494c6436c61139	2481960	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VN03A.JPG	media/fuente/chinas-modelo-2025-08-02/vn03a.jpg	c7c722f405c61dda31b4aa7a7ad366c260162a4c9f6e66ec8162239a991a63a6	3144835	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VN03B.JPG	media/fuente/chinas-modelo-2025-08-02/vn03b.jpg	3833a948a19c70410b5db33d524e78b87c6109cc97c2e5d9920e901216b7f911	2578771	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VR01.JPG	media/fuente/chinas-modelo-2025-08-02/vr01.jpg	1ad2936d77df72a087f9e10c39531cabd6d9d20d794ac29efb21a0c6dde20bb7	3212244	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VR01A.JPG	media/fuente/chinas-modelo-2025-08-02/vr01a.jpg	2ece034f90526023e716578f927e0b50cb65ad1d2bb5ea580ac50e50d2be72f9	3203008	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VR02.JPG	media/fuente/chinas-modelo-2025-08-02/vr02.jpg	bc6376dd94befeb2925c9688005d4663346a3beed9ed6e15a4fe670670451a78	3273340	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VR02A.JPG	media/fuente/chinas-modelo-2025-08-02/vr02a.jpg	f43f6e47d050a5e9a59691ba41e461b7c981973bbe58164332bd0d2b4ceab940	3068537	foto de modelo, normalizada
mover	fotos-originales/fiestas-patrias-2026/VB01.JPG	media/_archivo/fuente-chinas-modelo-2025-08-02/vb01-baja-resolucion.jpg	0ddff492f26db3e3d986302111be48d4d351e5b76bd632f927ff67484a651406	921500	768x1251, hay una version mejor en chinitas
mover	fotos-originales/fiestas-patrias-2026/VF01.jpg	media/_archivo/fuente-chinas-modelo-2025-08-02/vf01-sin-exif.jpg	9b6b6a5b0249bcafe614911223f1296959607db33bd251ce6c535b83deb5c3e8	340128	sin EXIF, evita choque de mayusculas con vf01.jpg
mover	fotos-originales/fiestas-patrias-2026-editadas-sin-tatuajes/vm01.jpg	media/fuente/chinas-modelo-2025-08-02-sin-tatuajes/vm01.jpg	c32a024c57e4a1f5f981e85047a7acff155e363c3caf51ec68c2cea68bc6d29d	1965459	edicion sin tatuajes
mover	fotos-originales/fiestas-patrias-2026-editadas-sin-tatuajes/vn01.jpg	media/fuente/chinas-modelo-2025-08-02-sin-tatuajes/vn01.jpg	90a7ef0029ae86b262814c532098d7bac6152e31b632f5a4688754df91e4e608	2267666	edicion sin tatuajes
mover	fotos-originales/fiestas-patrias-2026-editadas-sin-tatuajes/vn01a.jpg	media/fuente/chinas-modelo-2025-08-02-sin-tatuajes/vn01a.jpg	44e3d62440877344c4afed506a5e2765a1d0b20a7d645824871925f8ce6a23a0	3064201	edicion sin tatuajes
mover	fotos-originales/fiestas-patrias-2026-editadas-sin-tatuajes/vr01.jpg	media/fuente/chinas-modelo-2025-08-02-sin-tatuajes/vr01.jpg	0688a50886a0338695f75c697fc6ac97d44edc4b0ce692f564f857075f5ab1aa	2332329	edicion sin tatuajes
